Task,TaskName,Model,Preprocess,F1_mean,F1_std,BA_mean,BA_std,Acc_mean,Acc_std,FitSeconds_total,FitSeconds_mean,PredictSeconds_total
G1_thiram_molar_grade,Thiram Positive Molar Grade,1D-CNN,raw,0.7360704715038984,0.0376516285340838,0.7409839090317691,0.0406073415765399,0.7385026423957722,0.0359752621333217,77.22594027966261,15.445188055932524,0.3350214287638664
G1_thiram_molar_grade,Thiram Positive Molar Grade,1D-ResNet,raw,0.7115611611176034,0.1064851128049989,0.7060059304264231,0.1093257399350083,0.7091579198473282,0.1059749208817556,51.720952324569225,10.344190464913844,0.0940314456820488
G1_thiram_molar_grade,Thiram Positive Molar Grade,KAN-CNN,raw,0.7700309062595617,0.031519917485968,0.7726265440807288,0.0312073530393726,0.77375917498532,0.0296823639202786,63.61166097223759,12.722332194447516,0.1072250604629516
G1_thiram_molar_grade,Thiram Positive Molar Grade,Spectrum-KAN,raw,0.7586632531268297,0.0503366616365224,0.762904722672725,0.0502626621750651,0.7587777084556665,0.0487783104660699,66.5049185603857,13.30098371207714,0.0358098521828651
G2_mg_molar_grade,MG Positive Molar Grade,1D-CNN,raw,0.5762679753879378,0.0573046370839953,0.5936719189227213,0.0238808073484531,0.6018509615384615,0.0191350532661532,45.73642085492611,9.147284170985222,0.2458535879850387
G2_mg_molar_grade,MG Positive Molar Grade,1D-ResNet,raw,0.6333247170710764,0.0666873550894176,0.6400329022855669,0.0464221390969085,0.645048076923077,0.0389228643293829,81.39563676714897,16.279127353429793,0.0341056138277053
G2_mg_molar_grade,MG Positive Molar Grade,KAN-CNN,raw,0.4696563251215527,0.1716002365719408,0.5219400423510528,0.1062425695966674,0.5309855769230769,0.108473953893374,47.59431383013725,9.51886276602745,0.1158511713147163
G2_mg_molar_grade,MG Positive Molar Grade,Spectrum-KAN,raw,0.5144984641277517,0.0650648568624508,0.5361388989086212,0.0360354464713403,0.5462980769230769,0.0364892444333878,35.17547030001879,7.0350940600037575,0.0446007996797561
G3_mba_molar_grade,MBA Positive Molar Grade,1D-CNN,raw,0.4626648724531274,0.0888652888103361,0.4968850007145728,0.0783050873138169,0.4945877264125439,0.0770711404118021,28.86714331060648,5.773428662121296,0.0252803266048431
G3_mba_molar_grade,MBA Positive Molar Grade,1D-ResNet,raw,0.2890310959189848,0.1092511316192242,0.3918574271858268,0.0650031343033699,0.3894133549608002,0.0694260362278385,31.836444698274136,6.367288939654827,0.0773740634322166
G3_mba_molar_grade,MBA Positive Molar Grade,KAN-CNN,raw,0.1655455344505731,0.0031303753693652,0.3333333333333333,0.0,0.3303919978372533,0.0083368028942342,22.16056040674448,4.432112081348896,0.0489717498421669
G3_mba_molar_grade,MBA Positive Molar Grade,Spectrum-KAN,raw,0.5486022913918756,0.0898689148058695,0.5721093581078952,0.0779401389890235,0.5699053798323871,0.0800522233874273,53.3493691533804,10.669873830676078,0.256713293492794
P1_thiram_presence,Thiram Presence,1D-CNN,raw,0.6461353769874065,0.0364530107674959,0.729342851600417,0.0234336477400117,0.6558993247391037,0.0424726933010473,60.39001062512398,12.078002125024796,0.1052374616265297
P1_thiram_presence,Thiram Presence,1D-ResNet,raw,0.7022470746055955,0.0510248448673691,0.7699275490730644,0.0549587022352571,0.717010435850215,0.0503829973438549,64.77140484005213,12.954280968010426,0.1025559529662132
P1_thiram_presence,Thiram Presence,KAN-CNN,raw,0.63586126688671,0.0323383877784378,0.7378359879624192,0.0203660663827481,0.6403990178023327,0.0352197165518034,57.03749800473452,11.407499600946904,0.3283821269869804
P1_thiram_presence,Thiram Presence,Spectrum-KAN,raw,0.6147392328877588,0.0560316013365137,0.6813706458141096,0.0563522622274492,0.6348864333947206,0.0678138561113399,45.31722128391266,9.063444256782532,0.2491884529590606
P2_mg_presence,MG Presence,1D-CNN,raw,0.723306247227564,0.1814271523818532,0.7523251791101055,0.1101271662225933,0.7557151626764886,0.1966381762585156,113.09642182290554,22.61928436458111,0.1092934533953666
P2_mg_presence,MG Presence,1D-ResNet,raw,0.7265635757138043,0.1805829112192365,0.7348843797134238,0.1414401837207678,0.8213014119091466,0.0723948000406354,69.31499161571264,13.862998323142527,0.0325670763850212
P2_mg_presence,MG Presence,KAN-CNN,raw,0.6635917880000234,0.1884221148531649,0.7134169494720966,0.1284793190003045,0.6923634131368938,0.1930395111626756,95.5366618335247,19.10733236670494,0.241594098508358
P2_mg_presence,MG Presence,Spectrum-KAN,raw,0.5603455729635507,0.0930866063232882,0.6216620003770739,0.0353989600722389,0.5892756292203807,0.1080749903502781,38.411364659667015,7.682272931933403,0.1688848286867141
